date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:19:26	203/203	---M--	200	added ('OK')	text/plain	date:Mon,%2021%20Jun%202021%2000:19:26%20GMT	https://www.germanodesousa.com/robots.txt		(from )
01:19:29	10678/10678	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Jun%202021%2000:19:29%20GMT	https://www.germanodesousa.com/res/ana/online/?p1=MTI0NzM4ODU=&p2=MTI0Mjk3MDE=&p3=SEUzMDg4OA==&p4=QVBQT0xP&p5=TElTQk9B&p8=djI=	C:/My%20Web%20Sites/Germano/www.germanodesousa.com/res/ana/online/index9794.html	(from )
01:19:30	1746/1746	---M--	200	added ('OK')	image/png	etag:%225f752915-6d2%22	https://www.germanodesousa.com/static/images/iconlogo.png	C:/My%20Web%20Sites/Germano/www.germanodesousa.com/static/images/iconlogo.png	(from https://www.germanodesousa.com/res/ana/online/?p1=MTI0NzM4ODU=&p2=MTI0Mjk3MDE=&p3=SEUzMDg4OA==&p4=QVBQT0xP&p5=TElTQk9B&p8=djI=)
01:19:30	178111/178111	---M--	200	added ('OK')	text/css	etag:%225f752914-2b7bf%22	https://www.germanodesousa.com/static/css/bootstrap.css	C:/My%20Web%20Sites/Germano/www.germanodesousa.com/static/css/bootstrap.css	(from https://www.germanodesousa.com/res/ana/online/?p1=MTI0NzM4ODU=&p2=MTI0Mjk3MDE=&p3=SEUzMDg4OA==&p4=QVBQT0xP&p5=TElTQk9B&p8=djI=)
01:19:30	49098/49098	---M--	200	added ('OK')	text/css	etag:%225f752914-bfca%22	https://www.germanodesousa.com/static/css/font-icons.css	C:/My%20Web%20Sites/Germano/www.germanodesousa.com/static/css/font-icons.css	(from https://www.germanodesousa.com/res/ana/online/?p1=MTI0NzM4ODU=&p2=MTI0Mjk3MDE=&p3=SEUzMDg4OA==&p4=QVBQT0xP&p5=TElTQk9B&p8=djI=)
01:19:30	296013/296013	---M--	200	added ('OK')	text/css	etag:%225f971d3c-4844d%22	https://www.germanodesousa.com/static/css/style.css	C:/My%20Web%20Sites/Germano/www.germanodesousa.com/static/css/style.css	(from https://www.germanodesousa.com/res/ana/online/?p1=MTI0NzM4ODU=&p2=MTI0Mjk3MDE=&p3=SEUzMDg4OA==&p4=QVBQT0xP&p5=TElTQk9B&p8=djI=)
01:19:30	41795/41795	---M--	200	added ('OK')	text/css	etag:%225f752914-a343%22	https://www.germanodesousa.com/static/css/responsive.css	C:/My%20Web%20Sites/Germano/www.germanodesousa.com/static/css/responsive.css	(from https://www.germanodesousa.com/res/ana/online/?p1=MTI0NzM4ODU=&p2=MTI0Mjk3MDE=&p3=SEUzMDg4OA==&p4=QVBQT0xP&p5=TElTQk9B&p8=djI=)
01:19:31	37834/37834	---M--	200	added ('OK')	text/css	etag:%226061df27-93ca%22	https://www.germanodesousa.com/static/css/custom.css	C:/My%20Web%20Sites/Germano/www.germanodesousa.com/static/css/custom.css	(from https://www.germanodesousa.com/res/ana/online/?p1=MTI0NzM4ODU=&p2=MTI0Mjk3MDE=&p3=SEUzMDg4OA==&p4=QVBQT0xP&p5=TElTQk9B&p8=djI=)
01:19:31	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2021%20Jun%202021%2000:19:31%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/Germano/www.googletagmanager.com/gtm.65445.delayed	(from https://www.germanodesousa.com/res/ana/online/?p1=MTI0NzM4ODU=&p2=MTI0Mjk3MDE=&p3=SEUzMDg4OA==&p4=QVBQT0xP&p5=TElTQk9B&p8=djI=)
01:19:31	2562/2562	---M--	200	added ('OK')	image/png	etag:%2260b12fb9-a02%22	https://www.germanodesousa.com/static/images/qrcode/germanodesousa_resultado_negativo.png	C:/My%20Web%20Sites/Germano/www.germanodesousa.com/static/images/qrcode/germanodesousa_resultado_negativo.png	(from https://www.germanodesousa.com/res/ana/online/?p1=MTI0NzM4ODU=&p2=MTI0Mjk3MDE=&p3=SEUzMDg4OA==&p4=QVBQT0xP&p5=TElTQk9B&p8=djI=)
